timestamp	score	hypothesis	result
2026-03-13 23:34:36	8.980	baseline	KEPT
2026-03-13 23:35:29	8.840	verdict ALL CAPS as first word + one-sentence thesis	DISCARDED
2026-03-13 23:36:16	9.000	add silent chain-of-thought before writing	DISCARDED
2026-03-13 23:37:08	9.000	add bad/good analysis examples	DISCARDED
2026-03-13 23:37:57	9.000	strip structure to single tight paragraph	DISCARDED
2026-03-13 23:38:51	8.900	longer word count + specific price target with justification	DISCARDED
2026-03-13 23:46:23	8.824	baseline-25cases	KEPT
2026-03-13 23:49:52	8.708	silent pre-writing chain-of-thought	DISCARDED
2026-03-13 23:53:04	8.640	hedge fund persona + 60-second PM reader context	DISCARDED
2026-03-13 23:56:11	8.788	every claim must cite specific number + before/after for improvements	DISCARDED
2026-03-14 00:03:23	7.824	additive-baseline: minimal prompt	KEPT
2026-03-14 00:07:30	6.784	add: prose only + price target	DISCARDED
2026-03-14 00:10:48	8.044	add: verdict upfront + prose + 200-word limit + price target	KEPT
2026-03-14 00:13:59	8.196	add: valuation risk weighting + discount CEO commentary	KEPT
2026-03-14 00:19:30	8.624	add: verdict-target consistency + turnaround signal + bear trigger	KEPT
2026-03-14 00:23:26	8.736	add: priced-in collapses + multi-segment weighting + verify arithmetic	KEPT
